Abbreviation,Best-hit-arabi-defline,class,colors,degree.layout,Description,gene_id,gene_metabolite,GO,GODescription,KO,KOG,locusName,name,Panther,Pathways,Pathways_Desc,Pfam,selected,shared name
,plastidial pyruvate kinase 3,carb,lightcyan,65,(1 of 1) PTHR11817//PTHR11817:SF26 - PYRUVATE KINASE // PLASTIDIAL PYRUVATE KINASE 3; CHLOROPLASTIC,Manes.15G170100.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,,,Manes.15G170100,PTHR11817 PTHR11817:SF26,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.15G170100
,Phosphofructokinase family protein,carb,brown,110,(1 of 3) K00895 - pyrophosphate--fructose-6-phosphate 1-phosphotransferase (E2.7.1.90; pfk),Manes.16G002600.v8.1,gene,GO:0003872 GO:0005524 GO:0006002 GO:0006096 GO:0047334,6-phosphofructokinase activity; ATP binding; fructose 6-phosphate metabolic process; glycolytic process; diphosphate-fructose-6-phosphate 1-phosphotransferase activity,K00895,,,Manes.16G002600,PTHR13697 PTHR13697:SF26,PWY-5464; PWY-1042,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol)",PF00365,FALSE,Manes.16G002600
,Pyruvate kinase family protein,carb,lightgreen,61,(1 of 3) PTHR11817:SF5 - PYRUVATE KINASE-RELATED,Manes.16G035000.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,,,Manes.16G035000,PTHR11817 PTHR11817:SF5,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.16G035000
DXS3,1-deoxy-D-xylulose 5-phosphate synthase 3,carot,darkgreen,68,(1 of 2) PTHR11624:SF64 - 1-D-DEOXYXYLULOSE 5-PHOSPHATE SYNTHASE-LIKE PROTEIN,Manes.16G118600.v8.1,gene,GO:0003824 GO:0008152 GO:0008661 GO:0016114,catalytic activity; metabolic process; 1-deoxy-D-xylulose-5-phosphate synthase activity; terpenoid biosynthetic process,K01662,,,Manes.16G118600,PTHR11624 PTHR11624:SF64,PWY-7560,methylerythritol phosphate pathway II,PF02779 PF02780 PF13292,TRUE,Manes.16G118600
,sucrose phosphate synthase 2F,carb,green,94,(1 of 1) PTHR12526//PTHR12526:SF404 - GLYCOSYLTRANSFERASE // SUBFAMILY NOT NAMED,Manes.16G123800.v8.1,gene,GO:0005985 GO:0016157 GO:0046524,sucrose metabolic process; sucrose synthase activity; sucrose-phosphate synthase activity,,KOG0853,,Manes.16G123800,PTHR12526 PTHR12526:SF404,SUCSYN-PWY; PWY-7238,sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II,PF00534 PF00862 PF05116,FALSE,Manes.16G123800
,Phosphoglucomutase/phosphomannomutase family protein,carb,lightgreen,26,(1 of 2) PTHR22573//PTHR22573:SF47 - PHOSPHOHEXOMUTASE FAMILY MEMBER // PHOSPHOGLUCOMUTASE; CYTOPLASMIC 1-RELATED,Manes.17G081000.v8.1,gene,GO:0005975 GO:0016868 GO:0071704,carbohydrate metabolic process; intramolecular phosphotransferase activity,K01835,,,Manes.17G081000,PTHR22573 PTHR22573:SF47,PWY-3801; GLYCOGENSYNTH-PWY; SUCSYN-PWY; PWY-7238; PWY-7343; GLUCOSE1PMETAB-PWY; PWY-622; PWY66-422,sucrose degradation II (sucrose synthase); glycogen biosynthesis I (from ADP-D-Glucose); sucrose biosynthesis I (from photosynthesis); sucrose biosynthesis II; UDP-glucose biosynthesis; glucose and glucose-1-phosphate degradation; starch biosynthesis; D-galactose degradation V (Leloir pathway),PF00408 PF02878 PF02879 PF02880,FALSE,Manes.17G081000
HMBPP R,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,carot,greenyellow,40,(1 of 2) 1.17.1.2 - 4-hydroxy-3-methylbut-2-enyl diphosphate reductase / HMBPP reductase,Manes.17G098700.v8.1,gene,GO:0019288 GO:0046872 GO:0050992 GO:0051745,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway; metal ion binding; dimethylallyl diphosphate biosynthetic process; 4-hydroxy-3-methylbut-2-enyl diphosphate reductase activity",K03527,,,Manes.17G098700,PTHR31619 PTHR31619:SF2,PWY-7560,methylerythritol phosphate pathway II,PF02401,TRUE,Manes.17G098700
,Zinc-binding alcohol dehydrogenase family protein,carb,lightyellow,38,(1 of 1) PTHR11695//PTHR11695:SF490 - ALCOHOL DEHYDROGENASE RELATED // SUBFAMILY NOT NAMED,Manes.18G007380.v8.1,gene,GO:0008270 GO:0016491 GO:0055114,zinc ion binding; oxidoreductase activity,K00121,,,Manes.18G007380,PTHR11695 PTHR11695:SF490,PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation,PF00107 PF08240,FALSE,Manes.18G007380
,ADPGLC-PPase large subunit,carb,green,69,(1 of 1) PTHR22572//PTHR22572:SF110 - SUGAR-1-PHOSPHATE GUANYL TRANSFERASE // GLUCOSE-1-PHOSPHATE ADENYLYLTRANSFERASE LARGE SUBUNIT 2; CHLOROPLASTIC,Manes.18G019650.v8.1,gene,GO:0005978 GO:0008878 GO:0009058 GO:0016779,glycogen biosynthetic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; nucleotidyltransferase activity,K00975,KOG1322,,Manes.18G019650,PTHR22572 PTHR22572:SF110,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00483,FALSE,Manes.18G019650
,Sugar isomerase (SIS) family protein,carb,cyan,26,(1 of 2) PTHR11469//PTHR11469:SF1 - GLUCOSE-6-PHOSPHATE ISOMERASE // GLUCOSE-6-PHOSPHATE ISOMERASE; CYTOSOLIC,Manes.18G027800.v8.1,gene,GO:0004347 GO:0006094 GO:0006096,glucose-6-phosphate isomerase activity; gluconeogenesis; glycolytic process,K01810,,,Manes.18G027800,PTHR11469 PTHR11469:SF1,PWY66-399; PWY-3801; GLUCONEO-PWY; SUCSYN-PWY; PWY-621; PWY-7238; PWY-5659; ANAGLYCOLYSIS-PWY; PWY-622; ANAEROFRUCAT-PWY,gluconeogenesis III; sucrose degradation II (sucrose synthase); gluconeogenesis I; sucrose biosynthesis I (from photosynthesis); sucrose degradation III (sucrose invertase); sucrose biosynthesis II; GDP-mannose biosynthesis; glycolysis III (from glucose); starch biosynthesis; homolactic fermentation,PF00342,FALSE,Manes.18G027800
,,carb,darkturquoise,34,(1 of 3) K00001//K18857 - alcohol dehydrogenase (E1.1.1.1; adh) // alcohol dehydrogenase class-P (ADH1),Manes.18G086800.v8.1,gene,GO:0008270 GO:0016491 GO:0055114,zinc ion binding; oxidoreductase activity,K00001 K18857,,,Manes.18G086800,PTHR11695 PTHR11695:SF432,PWY-5486; PWY-6333; PWY-6802; PWY66-21; PWY66-389,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis I; salidroside biosynthesis; ethanol degradation II; phytol degradation,PF00107 PF08240,FALSE,Manes.18G086800
,cytosolic invertase 2,carb,black,66,(1 of 2) PTHR31916:SF3 - ALKALINE/NEUTRAL INVERTASE CINV1-RELATED,Manes.18G103000.v8.1,gene,GO:0033926,endo-alpha-N-acetylgalactosaminidase activity,,,,Manes.18G103000,PTHR31916 PTHR31916:SF3,PWY66-373; PWY-621,sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase),PF12899,FALSE,Manes.18G103000
Viola. 2,NA,carot,darkturquoise,30,NA,Violaxanthin.peak.2,metabolite,NA,NA,NA,NA,Violaxanthin.peak.2,Violaxanthin.peak.2,NA,NA,NA,NA,TRUE,Violaxanthin.peak.2
Lutein,NA,carot,blue,88,NA,Lutein,metabolite,NA,NA,NA,NA,Lutein,Lutein,NA,NA,NA,NA,TRUE,Lutein
,succinate dehydrogenase 1-1,carb,grey,7,(1 of 2) K00234 - succinate dehydrogenase (ubiquinone) flavoprotein subunit (SDHA; SDH1),Manes.02G093200.v8.1,gene,GO:0006099 GO:0016491 GO:0016627 GO:0022900 GO:0050660 GO:0055114,"tricarboxylic acid cycle; oxidoreductase activity; oxidoreductase activity, acting on the CH-CH group of donors; electron transport chain; flavin adenine dinucleotide binding",K00234,,,Manes.02G093200,PTHR11632 PTHR11632:SF54,PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781,"aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)",PF00890 PF02910,FALSE,Manes.02G093200
,lipoamide dehydrogenase 1,carb,yellow,69,(1 of 3) 1.8.1.4 - Dihydrolipoyl dehydrogenase / Lipoyl dehydrogenase,Manes.03G202500.v8.1,gene,GO:0004148 GO:0008033 GO:0016491 GO:0045454 GO:0050660 GO:0055114,dihydrolipoyl dehydrogenase activity; tRNA processing; oxidoreductase activity; cell redox homeostasis; flavin adenine dinucleotide binding,K00382,,,Manes.03G202500,PTHR22912 PTHR22912:SF165,PWY-5173; PWY-5464; PWY-5046; PWY-5084; PYRUVDEHYD-PWY; GLYCLEAV-PWY,"superpathway of acetyl-CoA biosynthesis; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; 2-oxoisovalerate decarboxylation to isobutanoyl-CoA; 2-oxoglutarate decarboxylation to succinyl-CoA; pyruvate decarboxylation to acetyl CoA; glycine cleavage",PF00070 PF01134 PF02852,FALSE,Manes.03G202500
,,carb,pink,48,(1 of 2) PTHR18968//PTHR18968:SF132 - THIAMINE PYROPHOSPHATE ENZYMES // SUBFAMILY NOT NAMED,Manes.16G036400.v8.1,gene,GO:0000287 GO:0003824 GO:0016831 GO:0030976,magnesium ion binding; catalytic activity; carboxy-lyase activity; thiamine pyrophosphate binding,K01568,,,Manes.16G036400,PTHR18968 PTHR18968:SF132,PWY-5486; PWY-6330,pyruvate fermentation to ethanol II; acetaldehyde biosynthesis II,PF00205 PF02775 PF02776,FALSE,Manes.16G036400
,,carb,lightgreen,33,(1 of 4) PTHR13697:SF7 - 6-PHOSPHOFRUCTOKINASE 1-RELATED,Manes.16G076300.v8.1,gene,GO:0003872 GO:0005524 GO:0006002 GO:0006096,6-phosphofructokinase activity; ATP binding; fructose 6-phosphate metabolic process; glycolytic process,K00850,,,Manes.16G076300,PTHR13697 PTHR13697:SF7,PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00365,FALSE,Manes.16G076300
HMG-CoA R,,carot,grey,1,(1 of 5) 1.1.1.34 - Hydroxymethylglutaryl-CoA reductase (NADPH) / HMG-CoA reductase,Manes.01G157500.v8.1,gene,GO:0004420 GO:0008299 GO:0015936 GO:0016021 GO:0050661 GO:0050662 GO:0055114,hydroxymethylglutaryl-CoA reductase (NADPH) activity; isoprenoid biosynthetic process; coenzyme A metabolic process; NADP binding,K00021,,,Manes.01G157500,PTHR10572 PTHR10572:SF9,PWY-922; PWY-5910,mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PF00368,TRUE,Manes.01G157500
,fumarase 1,carb,darkgreen,8,(1 of 3) 4.2.1.2 - Fumarate hydratase / Fumarase,Manes.05G000300.v8.1,gene,GO:0004333 GO:0006099 GO:0006106 GO:0016829 GO:0045239,fumarate hydratase activity; tricarboxylic acid cycle; fumarate metabolic process; lyase activity; tricarboxylic acid cycle heteromeric enzyme complex,K01679,,,Manes.05G000300,PTHR11444 PTHR11444:SF1,PWY-5464; PWY-5690; PWY-561,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation",PF00206 PF10415,FALSE,Manes.05G000300
,aconitase 1,carb,purple,35,(1 of 1) PTHR11670//PTHR11670:SF40 - ACONITASE // ACONITATE HYDRATASE 1,Manes.02G110200.v8.1,gene,GO:0008152,metabolic process,K01681,,,Manes.02G110200,PTHR11670 PTHR11670:SF40,GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561,"glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation",PF00330 PF00694,FALSE,Manes.02G110200
,malate dehydrogenase,carb,blue,21,(1 of 2) PTHR11540//PTHR11540:SF29 - MALATE AND LACTATE DEHYDROGENASE // SUBFAMILY NOT NAMED,Manes.06G091900.v8.1,gene,GO:0003854 GO:0006108 GO:0006694 GO:0016616 GO:0019752 GO:0030060 GO:0055114,"3-beta-hydroxy-delta5-steroid dehydrogenase (NAD+) activity; malate metabolic process; steroid biosynthetic process; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity",K00026,,,Manes.06G091900,PTHR11540 PTHR11540:SF29,PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561,"gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation",PF01073 PF02866,FALSE,Manes.06G091900
,phosphoglycerate kinase 1,carb,greenyellow,6,(1 of 2) PTHR11406:SF8 - PHOSPHOGLYCERATE KINASE 1; CHLOROPLASTIC-RELATED,Manes.06G176400.v8.1,gene,GO:0004618 GO:0006096,phosphoglycerate kinase activity; glycolytic process,K00927,,,Manes.06G176400,PTHR11406 PTHR11406:SF8,PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00162,FALSE,Manes.06G176400
,phosphoglycerate kinase,carb,blue,30,(1 of 2) PTHR11406//PTHR11406:SF9 - PHOSPHOGLYCERATE KINASE // PHOSPHOGLYCERATE KINASE,Manes.06G176500.v8.1,gene,GO:0004618 GO:0006096,phosphoglycerate kinase activity; glycolytic process,K00927,,,Manes.06G176500,PTHR11406 PTHR11406:SF9,PWY66-399; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; SUCSYN-PWY; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); sucrose biosynthesis I (from photosynthesis); glycolysis III (from glucose); homolactic fermentation",PF00162,FALSE,Manes.06G176500
,triosephosphate isomerase,carb,grey,12,(1 of 2) PTHR21139:SF7 - TRIOSEPHOSPHATE ISOMERASE; CHLOROPLASTIC,Manes.11G089900.v8.1,gene,GO:0004807 GO:0008152,triose-phosphate isomerase activity; metabolic process,K01803,KOG1643,,Manes.11G089900,PTHR21139 PTHR21139:SF7,PWY66-399; PWY66-373; PHOTOALL-PWY; GLUCONEO-PWY; PWY-5464; CALVIN-PWY; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"gluconeogenesis III; sucrose degradation V (sucrose &alpha;-glucosidase); oxygenic photosynthesis; gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Calvin-Benson-Bassham cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00121,FALSE,Manes.11G089900
,,carot,grey,24,(1 of 3) PTHR11624//PTHR11624:SF83 - DEHYDROGENASE RELATED // SUBFAMILY NOT NAMED,Manes.12G124300.v8.1,gene,GO:0003824 GO:0008152 GO:0008661 GO:0016114,catalytic activity; metabolic process; 1-deoxy-D-xylulose-5-phosphate synthase activity; terpenoid biosynthetic process,K01662,,,Manes.12G124300,PTHR11624 PTHR11624:SF83,PWY-7560,methylerythritol phosphate pathway II,PF02779 PF02780 PF13292,FALSE,Manes.12G124300
,peroxisomal NAD-malate dehydrogenase 1,carb,green,29,(1 of 1) PTHR11540//PTHR11540:SF27 - MALATE AND LACTATE DEHYDROGENASE // MALATE DEHYDROGENASE; GLYOXYSOMAL-RELATED,Manes.13G106000.v8.1,gene,GO:0006108 GO:0016491 GO:0016616 GO:0019752 GO:0030060 GO:0055114,"malate metabolic process; oxidoreductase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity",K00026,,,Manes.13G106000,PTHR11540 PTHR11540:SF27,PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561,"gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation",PF00056 PF02866,FALSE,Manes.13G106000
,Lactate/malate dehydrogenase family protein,carb,darkred,37,(1 of 5) K00025 - malate dehydrogenase (MDH1),Manes.15G040800.v8.1,gene,GO:0006108 GO:0016491 GO:0016615 GO:0016616 GO:0019752 GO:0030060 GO:0055114,"malate metabolic process; oxidoreductase activity; malate dehydrogenase activity; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; carboxylic acid metabolic process; L-malate dehydrogenase (NAD+) activity",K00025,,,Manes.15G040800,PTHR23382 PTHR23382:SF7,PWY66-399; GLUCONEO-PWY; GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-7115; PWY-561,"gluconeogenesis III; gluconeogenesis I; glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); C4 photosynthetic carbon assimilation cycle, NAD-ME type; superpathway of glyoxylate cycle and fatty acid degradation",PF00056 PF02866,FALSE,Manes.15G040800
MevK,mevalonate kinase,carot,yellow,27,(1 of 2) 2.7.1.36 - Mevalonate kinase,Manes.08G122300.v8.1,gene,GO:0004496 GO:0005524 GO:0005737 GO:0008152 GO:0008299 GO:0016301 GO:0016773,"mevalonate kinase activity; ATP binding; cytoplasm; metabolic process; isoprenoid biosynthetic process; kinase activity; phosphotransferase activity, alcohol group as acceptor",K00869,KOG1511,,Manes.08G122300,PTHR10457 PTHR10457:SF4,PWY-922; PWY-5910,mevalonate pathway I; superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PF00288 PF08544,TRUE,Manes.08G122300
,Pyruvate kinase family protein,carb,tan,20,(1 of 3) PTHR11817//PTHR11817:SF33 - PYRUVATE KINASE // SUBFAMILY NOT NAMED,Manes.09G061100.v8.1,gene,GO:0000287 GO:0004743 GO:0006096 GO:0030955,magnesium ion binding; pyruvate kinase activity; glycolytic process; potassium ion binding,K00873,,,Manes.09G061100,PTHR11817 PTHR11817:SF33,PWY-5464; PWY-5723; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00224 PF02887,FALSE,Manes.09G061100
,aconitase 3,carb,grey,11,(1 of 4) 4.2.1.3 - Aconitate hydratase / Citrate(isocitrate) hydro-lyase,Manes.13G070400.v8.1,gene,GO:0008152,metabolic process,K01681,,,Manes.13G070400,PTHR11670 PTHR11670:SF37,GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561,"glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation",PF00330 PF00694,FALSE,Manes.13G070400
,succinate dehydrogenase 2-2,carb,yellow,28,(1 of 3) K00235 - succinate dehydrogenase (ubiquinone) iron-sulfur subunit (SDHB; SDH2),Manes.17G108500.v8.1,gene,GO:0006099 GO:0009055 GO:0016491 GO:0051536 GO:0055114,tricarboxylic acid cycle; electron transfer activity; oxidoreductase activity; iron-sulfur cluster binding,K00235,KOG3049,,Manes.17G108500,PTHR11921 PTHR11921:SF29,PWY-4302; PWY-5464; PWY-5690; PWY-561; PWY-7279; PWY-3781,"aerobic respiration III (alternative oxidase pathway); superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); superpathway of glyoxylate cycle and fatty acid degradation; aerobic respiration II (cytochrome c) (yeast); aerobic respiration I (cytochrome c)",PF13085 PF13534,FALSE,Manes.17G108500
,pfkB-like carbohydrate kinase family protein,carb,cyan,15,(1 of 2) PTHR10584//PTHR10584:SF153 - SUGAR KINASE // SUBFAMILY NOT NAMED,Manes.18G022600.v8.1,gene,,,,KOG2854,,Manes.18G022600,PTHR10584 PTHR10584:SF153,PWY-5464; PWY-1042; ANAGLYCOLYSIS-PWY; ANAEROFRUCAT-PWY,"superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; glycolysis IV (plant cytosol); glycolysis III (from glucose); homolactic fermentation",PF00294,FALSE,Manes.18G022600
,starch synthase 2,carb,pink,70,(1 of 3) K00703 - starch synthase (E2.4.1.21; glgA),Manes.02G046733.v8.1,gene,GO:0004373,"alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity",K00703,,,Manes.02G046733,PTHR12526 PTHR12526:SF337,GLYCOGENSYNTH-PWY; PWY-622,glycogen biosynthesis I (from ADP-D-Glucose); starch biosynthesis,PF00534 PF08323,FALSE,Manes.02G046733
,Citrate synthase family protein,carb,darkred,29,(1 of 2) PTHR11739//PTHR11739:SF8 - CITRATE SYNTHASE // CITRATE SYNTHASE; MITOCHONDRIAL,Manes.10G152000.v8.1,gene,GO:0004108 GO:0006101 GO:0046912,"citrate (Si)-synthase activity; citrate metabolic process; acyltransferase activity, acyl groups converted into alkyl on transfer",K01647,,,Manes.10G152000,PTHR11739 PTHR11739:SF8,GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561,"glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation",PF00285,FALSE,Manes.10G152000
,"Glycosyl transferase, family 35",carb,darkgreen,16,(1 of 9) 2.4.1.1 - Glycogen phosphorylase / Polyphosphorylase,Manes.02G052360.v8.1,gene,GO:0004645 GO:0005975 GO:0008184 GO:0030170,"1,4-alpha-oligoglucan phosphorylase activity; carbohydrate metabolic process; glycogen phosphorylase activity; pyridoxal phosphate binding",K00688,,,Manes.02G052360,PTHR11468 PTHR11468:SF8,PWY-7238,sucrose biosynthesis II,PF00343,FALSE,Manes.02G052360
,Cofactor-independent phosphoglycerate mutase,carb,yellow,56,(1 of 1) PTHR31209//PTHR31209:SF0 - FAMILY NOT NAMED // COFACTOR-INDEPENDENT PHOSPHOGLYCERATE MUTASE,Manes.02G064400.v8.1,gene,GO:0003824 GO:0046537 GO:0046872,"catalytic activity; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity; metal ion binding",,,,Manes.02G064400,PTHR31209 PTHR31209:SF0,GLUCONEO-PWY; PWY-5464; PWY-5723; PWY-1042,"gluconeogenesis I; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; Rubisco shunt; glycolysis IV (plant cytosol)",PF01676 PF10143,FALSE,Manes.02G064400
PSY3,PHYTOENE SYNTHASE,carot,grey,6,(1 of 3) K02291 - phytoene synthase (crtB),Manes.02G081700.v8.1,gene,GO:0009058 GO:0016740,biosynthetic process; transferase activity,K02291,KOG1459,,Manes.02G081700,PTHR31480 PTHR31480:SF2,CAROTENOID-PWY; PWY-6475,superpathway of carotenoid biosynthesis; <i>trans</i>-lycopene biosynthesis II (plants),PF00494,TRUE,Manes.02G081700
,Actin-like ATPase superfamily protein,carb,turquoise,41,(1 of 2) KOG1794 - N-Acetylglucosamine kinase,Manes.02G090600.v8.1,gene,,,,KOG1794,,Manes.02G090600,PTHR12862 PTHR12862:SF6,PWY-621; PWY-7238; ANAGLYCOLYSIS-PWY; GLUCOSE1PMETAB-PWY; ANAEROFRUCAT-PWY,sucrose degradation III (sucrose invertase); sucrose biosynthesis II; glycolysis III (from glucose); glucose and glucose-1-phosphate degradation; homolactic fermentation,PF01869,FALSE,Manes.02G090600
,cytosolic invertase 2,carb,turquoise,33,(1 of 2) PTHR31916:SF3 - ALKALINE/NEUTRAL INVERTASE CINV1-RELATED,Manes.02G194100.v8.1,gene,GO:0033926,endo-alpha-N-acetylgalactosaminidase activity,,,,Manes.02G194100,PTHR31916 PTHR31916:SF3,PWY66-373; PWY-621,sucrose degradation V (sucrose &alpha;-glucosidase); sucrose degradation III (sucrose invertase),PF12899,FALSE,Manes.02G194100
,,carb,turquoise,51,(1 of 4) 4.2.1.3 - Aconitate hydratase / Citrate(isocitrate) hydro-lyase,Manes.03G129800.v8.1,gene,GO:0008152,metabolic process,K01681,,,Manes.03G129800,PTHR11670 PTHR11670:SF37,GLYOXYLATE-BYPASS; PWY-5464; PWY-5690; PWY-6549; PWY-561,"glyoxylate cycle; superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle; TCA cycle II (plants and fungi); L-glutamine biosynthesis III; superpathway of glyoxylate cycle and fatty acid degradation",PF00330 PF00694,FALSE,Manes.03G129800
,Mevalonate/galactokinase family protein,carb,turquoise,28,(1 of 2) 2.7.1.6 - Galactokinase,Manes.03G206800.v8.1,gene,GO:0004335 GO:0005524 GO:0005737 GO:0006012 GO:0008152 GO:0016301 GO:0016773 GO:0046835,"galactokinase activity; ATP binding; cytoplasm; galactose metabolic process; metabolic process; kinase activity; phosphotransferase activity, alcohol group as acceptor; carbohydrate phosphorylation",K18674,KOG0631,,Manes.03G206800,PTHR10457 PTHR10457:SF7,PWY-3821; PWY-6527; PWY66-422; PWY-7344,D-galactose degradation III; stachyose degradation; D-galactose degradation V (Leloir pathway); UDP-D-galactose biosynthesis,PF00288 PF08544 PF10509,FALSE,Manes.03G206800
